id,start_dt,entry_signal_dt,entry_confirm_dt,exit_signal_dt,exit_confirm_dt,ts_start_ns,ts_end_ns,entry_signal_ts_ns,entry_confirm_ts_ns,exit_signal_ts_ns,exit_confirm_ts_ns,symbol,buy_ex,sell_ex,start_spread,max_spread,end_spread,start_diff,max_diff,end_diff,avg_start,avg_end,dur_above_ms,dur_total_ms,start_buy_ask,start_buy_ask_sz,start_buy_ask_usd,start_sell_bid,start_sell_bid_sz,start_sell_bid_usd,end_buy_ask,end_buy_ask_sz,end_buy_ask_usd,end_sell_bid,end_sell_bid_sz,end_sell_bid_usd,avg_spread
11,2026-05-22 15:12:04.680000+00:00,2026-05-22 15:12:04.680000+00:00,2026-05-22 15:12:04.680000+00:00,2026-05-22 15:12:04.699000+00:00,2026-05-22 15:12:04.699000+00:00,1779462724680000000,1779462724699000000,1779462724680000000,1779462724680000000,1779462724699000000,1779462724699000000,BEATUSDT,binance,okx,0.4342900302114955,0.4342900302114955,0.02830989902802368,0.3025656031062896,0.3025656031062896,-0.1034145280771822,0.1317244271052059,0.1317244271052059,0,19,1.0592,38,40.24959999999999,1.0638,4,4.2552,1.0597,74,78.4178,1.06,1700,1802,0.1317235591280042
12,2026-05-22 15:12:34.281000+00:00,2026-05-22 15:12:34.281000+00:00,2026-05-22 15:12:34.281000+00:00,2026-05-22 15:12:37.368000+00:00,2026-05-22 15:12:37.368000+00:00,1779462754281000000,1779462757368000000,1779462754281000000,1779462754281000000,1779462757368000000,1779462757368000000,BEATUSDT,binance,okx,0.4542873367404804,0.4828173814257202,0.1135395969344394,0.3215994043959666,0.3501294490812064,-0.01914833541007435,0.1326879323445138,0.1326879323445138,11,3087,1.0566,83,87.6978,1.0614,4,4.2456,1.0569,5,5.2845,1.0581,120,126.972,0.1327401553236616
13,2026-05-22 15:13:01.274000+00:00,2026-05-22 15:13:01.274000+00:00,2026-05-22 15:13:01.274000+00:00,2026-05-22 15:13:01.298000+00:00,2026-05-22 15:13:01.298000+00:00,1779462781274000000,1779462781298000000,1779462781274000000,1779462781274000000,1779462781298000000,1779462781298000000,STABLEUSDT,binance,okx,1.129761136216902,1.162415240555362,0,1.097142301766151,1.129796406104612,-0.03261883445075051,0.03261883445075051,0.03261883445075051,20,24,0.03098,9472,293.44256,0.03133,23,0.72059,0.03105,36089,1120.56345,0.03105,20,0.621,0.0326350094556615
14,2026-05-22 15:13:01.312000+00:00,2026-05-22 15:13:01.312000+00:00,2026-05-22 15:13:01.312000+00:00,2026-05-22 15:13:01.831000+00:00,2026-05-22 15:13:01.831000+00:00,1779462781312000000,1779462781831000000,1779462781312000000,1779462781312000000,1779462781831000000,1779462781831000000,STABLEUSDT,binance,okx,0.387346675274366,0.5510534846029174,0,0.3547063185242074,0.5184131278527587,-0.03264035675015865,0.03264035675015865,0.03264035675015865,426,519,0.03098,12173,377.11954,0.0311,20,0.622,0.03096,12871,398.48616,0.03094,92,2.84648,0.03267003225123809
15,2026-05-22 15:13:02.307000+00:00,2026-05-22 15:13:02.307000+00:00,2026-05-22 15:13:02.307000+00:00,2026-05-22 15:13:02.620000+00:00,2026-05-22 15:13:02.620000+00:00,1779462782307000000,1779462782620000000,1779462782307000000,1779462782307000000,1779462782620000000,1779462782620000000,STABLEUSDT,binance,okx,0.485751295336779,0.485751295336779,0.03225806451612772,0.4530596911000105,0.4530596911000105,-0.000433539720640759,0.03269160423676848,0.03269160423676848,53,313,0.03088,13679,422.40752,0.03103,30,0.9309,0.031,13548,419.988,0.03101,30,0.9303,0.03270428306162448
16,2026-05-22 15:13:36.384000+00:00,2026-05-22 15:13:36.384000+00:00,2026-05-22 15:13:36.384000+00:00,2026-05-22 15:13:36.430000+00:00,2026-05-22 15:13:36.430000+00:00,1779462816384000000,1779462816430000000,1779462816384000000,1779462816384000000,1779462816430000000,1779462816430000000,STABLEUSDT,binance,okx,0.6166828951639053,0.8130081300813016,0.03246753246753115,0.5830060679208449,0.7793313028382411,-0.001209294775529307,0.03367682724306045,0.03367682724306045,20,46,0.03081,9472,291.83232,0.031,997,30.907,0.0308,12043,370.9244,0.03081,104,3.20424,0.03369724171886879
17,2026-05-22 15:13:36.474000+00:00,2026-05-22 15:13:36.474000+00:00,2026-05-22 15:13:36.474000+00:00,2026-05-22 15:13:36.493000+00:00,2026-05-22 15:13:36.493000+00:00,1779462816474000000,1779462816493000000,1779462816474000000,1779462816474000000,1779462816493000000,1779462816493000000,PYTHUSDT,binance,okx,0.33444816053512,0.4064068850107662,0,0.3344365032910874,0.4063952277667335,-1.165724403259912e-05,1.165724403259912e-05,1.165724403259912e-05,15,19,0.04186,63220,2646.3892,0.042,197,8.274000000000001,0.04188,264,11.05632,0.04187,120,5.0244,1.570204891364891e-05
18,2026-05-22 15:14:02.474000+00:00,2026-05-22 15:14:02.474000+00:00,2026-05-22 15:14:02.474000+00:00,2026-05-22 15:14:06.039000+00:00,2026-05-22 15:14:06.039000+00:00,1779462842474000000,1779462846039000000,1779462842474000000,1779462842474000000,1779462846039000000,1779462846039000000,BEATUSDT,binance,okx,0.494908156467126,0.494908156467126,0.1046323599353278,0.3614845279340803,0.3614845279340803,-0.02879126859771795,0.1334236285330457,0.1334236285330457,2718,3565,1.0507,721,757.5547,1.0559,5,5.279500000000001,1.0513,5,5.256499999999999,1.0524,11,11.5764,0.1334300367205063
19,2026-05-22 15:14:06.054000+00:00,2026-05-22 15:14:06.054000+00:00,2026-05-22 15:14:06.054000+00:00,2026-05-22 15:14:06.061000+00:00,2026-05-22 15:14:06.061000+00:00,1779462846055000000,1779462846061000000,1779462846055000000,1779462846055000000,1779462846061000000,1779462846061000000,BEATUSDT,okx,binance,0.3436754176610812,0.3532556807332265,0,0.3429580435906315,0.3525383066627768,-0.000717374070449713,0.000717374070449713,0.000717374070449713,3,6,1.0475,1,1.0475,1.0511,149,156.6139,1.0476,108,113.1408,1.047,77,80.619,0.0007185566902202964
20,2026-05-22 15:14:07.598000+00:00,2026-05-22 15:14:07.598000+00:00,2026-05-22 15:14:07.598000+00:00,2026-05-22 15:14:07.635000+00:00,2026-05-22 15:14:07.635000+00:00,1779462847598000000,1779462847635000000,1779462847598000000,1779462847598000000,1779462847635000000,1779462847635000000,BEATUSDT,okx,binance,0.4271844660194135,1.055408970976246,0,0.4264669398957434,1.054691444852575,-0.0007175261236700804,0.0007175261236700804,0.0007175261236700804,31,37,1.03,1,1.03,1.0344,102,105.5088,1.0273,6,6.1638,1.0249,670,686.683,0.0007281080841544209
